category,subcategory,name,current_price,raw_price,discount,likes_count,is_new,brand,brand_url,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,id,description
bags,Wallets,Multi-tools in real leather EDC leather belt size,1839.1999999999998,3600.0,49,174,False,,,Black,coffee,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/40/E1/ad8b6f95-a182-4b6c-9fbe-e5f9c8dba4e5.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/40/E1/ad8b6f95-a182-4b6c-9fbe-e5f9c8dba4e5.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/90/D7/f0c21c5f-22de-4443-8576-9be533a9532c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/90/D7/f0c21c5f-22de-4443-8576-9be533a9532c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6F/BD/6d143095-4942-4ec1-b4ca-c73522f5e3a1.jpg,1704506,"Carry your everyday essentials in style and functionality with our premium genuine leather EDC belt. Designed for the modern explorer, our belt combines durability, versatility, and comfort. With its sleek design and multiple pockets, it's perfect for carrying your tools, keys, and small items securely, while keeping them easily accessible. Crafted from high-quality leather, this belt is sure to become a staple in your everyday carry."
bags,Wallets,7.2 -inch real leather edc retro leather belt bag,1873.6000000000001,3349.6,44,377,False,E Ekphero,https://fr.newchic.com/e-ekphero-brand-42.html,Brown,Black,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/AA/66/b4877cef-11a2-43b9-a784-4fc9a08b0870.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AA/66/b4877cef-11a2-43b9-a784-4fc9a08b0870.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A1/C9/b3f0bcfd-5289-48df-9fdb-c15441e1e6de.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A1/C9/b3f0bcfd-5289-48df-9fdb-c15441e1e6de.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C7/71/c5ca782d-5178-4303-908e-cbf855708542.jpeg,1644205,"Carry your essentials in style with our 7.2-inch real leather EDC retro leather belt bag. Crafted from genuine leather, this bag offers a classic and timeless look. Its compact design features a main compartment with a secure zipper closure, providing ample space for your phone, wallet, keys, and other small items. The adjustable belt loop allows for comfortable and versatile wear, whether you prefer it on your waist or slung crossbody. Step out with confidence, knowing your belongings are safe and stylishly organized."
bags,Wallets,6.5 -inch edc 6.5 inch leather phone size bag EDC,1759.1999999999998,3200.0,45,192,False,,,Black,Coffee,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/5A/3D/7ce3a339-af25-4a38-b30d-348f64d3960f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/5A/3D/7ce3a339-af25-4a38-b30d-348f64d3960f.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D6/B1/b0863245-7f33-4118-b37a-8d2b772a625e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D6/B1/b0863245-7f33-4118-b37a-8d2b772a625e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/9D/65/13565348-856d-408e-8eae-3ec4340ac2db.jpg,1689612,"Carry your essentials in style with our 6.5-inch EDC leather phone bag. Crafted from premium leather, this bag features multiple pockets to keep your phone, cards, keys, and other items organized. Its compact size makes it perfect for everyday carry, whether you're running errands or exploring the city. Stay hands-free and stylish with our EDC leather phone bag."
bags,Wallets,EDC in real retro leather 6.3 inch phone bag,1599.1999999999998,5330.4,70,207,False,E Ekphero,https://fr.newchic.com/e-ekphero-brand-42.html,Black,brown,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/13/67/426f4b5b-6e16-44cd-ba86-6c786de5dd13.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/13/67/426f4b5b-6e16-44cd-ba86-6c786de5dd13.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/4E/50/8cf6d597-e70c-4ef8-af2b-14219d72368c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/4E/50/8cf6d597-e70c-4ef8-af2b-14219d72368c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0B/A6/ffcdc1a3-c544-4045-9d6b-e3289e19a1d2.jpg,1676960,"Introducing our exquisite EDC in real retro leather 6.3 inch phone bag, the perfect fusion of vintage charm and modern functionality. Crafted from genuine leather, this bag embodies a timeless elegance, while the compact design ensures your necessities are always at hand. The supple material molds to your side, providing all-day comfort, and the adjustable shoulder strap adds to its versatility. Whether you're running errands or heading to an event, this phone bag keeps your essentials secure and stylishly organized."
bags,Hand bags,Flower printed canvas bag for women,2719.2000000000003,5360.0,49,218,False,,,Blue,Dark blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/92/21/2e21497c-805e-48bd-8f50-1997648f04d5.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/92/21/2e21497c-805e-48bd-8f50-1997648f04d5.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/D4/A2/cf846463-ac20-4daa-9ca3-45ceec752de5.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/D4/A2/cf846463-ac20-4daa-9ca3-45ceec752de5.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/58/02/02c4b6ef-6b54-4706-86b1-8bf6f3810ace.jpg,1697644,"Carry your essentials in style with this chic and eco-friendly canvas bag. Crafted from durable cotton canvas, this bag features a vibrant flower print that's sure to turn heads. Its roomy interior and sturdy shoulder straps make it perfect for everyday use, while the zippered closure keeps your belongings safe and secure. Whether you're running errands or heading to the beach, this bag is a stylish and sustainable choice."
bags,Wallets,Retro belt bag in real leather edc for men,1839.1999999999998,3920.0,53,66,False,,,Black,brown,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F7/B0/24690058-39a7-469f-97f3-9448bac21f0c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F7/B0/24690058-39a7-469f-97f3-9448bac21f0c.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/99/CF/ddb9c41e-9da7-4e67-afd4-ee6a95bdd462.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/99/CF/ddb9c41e-9da7-4e67-afd4-ee6a95bdd462.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/3B/2fd52c99-efcd-4dd6-a328-1f4471cff1df.jpg,1678760,"Step into the past with our handcrafted Retro Belt Bag in genuine leather, designed exclusively for men with a taste for vintage aesthetics and practical functionality. Crafted from high-quality leather, this belt bag exudes a timeless charm and durability that will accompany you through the years."
bags,Wallets,EDC real leather belt bag for men,1999.1999999999998,3919.2000000000003,49,90,False,,,Black,Brown,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/20/08/ca404343-957c-4b83-b0fe-bf277dc3ed23.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/20/08/ca404343-957c-4b83-b0fe-bf277dc3ed23.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/73/62/8663bd52-19db-4969-82d0-42d7fc1e1204.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/73/62/8663bd52-19db-4969-82d0-42d7fc1e1204.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/AC/22/e6c60d49-197a-43e5-bb99-9d5caad851cc.png,1689026,"Introducing the EDC real leather belt bag, the ultimate companion for the modern man on the go. Crafted from premium genuine leather, this bag exudes sophistication and durability. Its versatile design allows for multiple carrying options, whether worn on your belt, attached to a backpack, or carried by hand. With multiple compartments and pockets, this bag keeps your essentials organized and easily accessible. Its compact size makes it ideal for carrying your phone, wallet, keys, and other small items. Elevate your style and functionality with the EDC real leather belt bag."
bags,Shoulder bag,6 cards for 6.3 inch phone bags,1743.1999999999998,3920.0,56,779,False,,,Black,Pink,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/68/39/492e6bc8-521e-487f-b7f6-79096ff54da5.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/68/39/492e6bc8-521e-487f-b7f6-79096ff54da5.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A1/AC/17cc8a75-9901-4001-bde7-5911d3a299e1.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A1/AC/17cc8a75-9901-4001-bde7-5911d3a299e1.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/59/55/8c6ffa80-dafe-4dfa-aba6-26598aa899bc.jpg,1651529,"Organizing your belongings on the go? This 6-card phone bag is perfect for carrying your essential items, with ample space for your phone, cards, and other small belongings. Made from high-quality materials, it's durable and designed to keep your belongings safe and secure. The compact size makes it easy to carry, whether you're running errands or traveling. Keep your essentials organized and easily accessible with this must-have phone bag."
bags,Wallets,Men EDC Multitool Flashlight Key Belt Bag,1759.1999999999998,3600.0,51,54,False,,,Black,Brown,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/05/01/41040c70-d248-43a6-b5f3-a6c93e104042.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/01/41040c70-d248-43a6-b5f3-a6c93e104042.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BF/B8/32db2ccb-4c11-4fe8-bb62-bee9ef1e63ff.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BF/B8/32db2ccb-4c11-4fe8-bb62-bee9ef1e63ff.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/74/44/1c83f629-ce7e-496d-a792-a649af7e0a0b.png,1711733,"Keep your everyday essentials secure and accessible with this all-in-one multifunctional EDC belt bag. Its compact and durable design holds your keys, cards, and small tools while the attached EDC multitool flashlight provides extra functionality and peace of mind. Stay organised and prepared for any situation with this handy and stylish belt bag."
bags,Shoulder bag,6.3 -inch men's leather banana bag for men,2440.8,4320.0,44,93,False,,,Black,Brown,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6A/DD/785f3432-9107-401a-820c-a846ad655fb5.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6A/DD/785f3432-9107-401a-820c-a846ad655fb5.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/4F/FF/cce00401-65cb-4aac-b50e-1d5424336807.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/4F/FF/cce00401-65cb-4aac-b50e-1d5424336807.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CC/0E/f4ddd9b4-b75c-44e9-8211-14dce1ddfbc2.jpg,1625865,"Introducing the ultimate accessory for the modern man – the 6.3-inch Men's Leather Banana Bag. This bag is crafted from premium leather that is soft and durable, ensuring a luxurious feel and lasting quality. Its compact size makes it easy to carry, while its spacious interior provides ample storage for your essentials – from your phone and wallet to keys and grooming products. Whether you're hitting the gym, running errands, or simply keeping your belongings organized, this banana bag is the perfect companion. Its adjustable strap allows for a comfortable fit, and its stylish design ensures you'll look sharp wherever you go. Upgrade your everyday carry with this versatile and stylish leather banana bag today."
