category,subcategory,name,raw_price,brand,brand_url,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,url,id,currency,price
kids,Sandals,Stepmed Stepped Booking Water Sandals for Unisex Children,,,,dark blue,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/0C/B7/0d577a41-b4bd-4300-8ae0-f0cbee56f940.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/0C/B7/0d577a41-b4bd-4300-8ae0-f0cbee56f940.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/04/7D/11a5df2f-f7f8-4149-956b-27df56c489c9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/7D/11a5df2f-f7f8-4149-956b-27df56c489c9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F4/F0/a72f7113-7b4a-4677-84f4-d6b4466a40f3.jpg,https://fr.newchic.com/sandals-12140/p-1696009.html,1696009,INR,2592.0
kids,Pregnancy panties,Set of 3 pure elastic cotton pants suitable for maternity,,,,# 01,# 02,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F5/83/7cbb4050-e461-4283-955f-9a724fa13232.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F5/83/7cbb4050-e461-4283-955f-9a724fa13232.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F8/E1/670e95c3-1c3d-4174-8d1e-623f9c64ae37.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F8/E1/670e95c3-1c3d-4174-8d1e-623f9c64ae37.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F4/DD/c95a8d0d-c173-44d4-84c4-e5036099bfc8.jpg,https://fr.newchic.com/maternity-panties-4853/p-1199879.html,1199879,INR,4648.0
kids,Pregnancy panties,Comfortable maternity subvations high waist,,,,Beige,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/78/04/6f3a6947-2086-4029-92a0-7cca26a1b115.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/78/04/6f3a6947-2086-4029-92a0-7cca26a1b115.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/28/41/e417f071-5385-4f3f-85db-338d7798f433.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/28/41/e417f071-5385-4f3f-85db-338d7798f433.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B9/7F/7f7a5269-b3bf-4918-ae85-71db38fa26fb.jpg,https://fr.newchic.com/maternity-panties-4853/p-1320317.html,1320317,INR,2828.0
kids,Sandals,Unisex Kids Comfy Antided Garden Garden Shoes Garden Water,,,,Yellow,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6B/72/a263aa08-fa67-419d-af16-20d9a58981c8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6B/72/a263aa08-fa67-419d-af16-20d9a58981c8.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F3/B6/c28b4231-ca94-4d0b-8129-b2220625378b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F3/B6/c28b4231-ca94-4d0b-8129-b2220625378b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/75/34/6802aef2-ca27-43c3-916e-9e1b247c74db.jpg,https://fr.newchic.com/sandals-12132/p-1693907.html,1693907,INR,1040.0
kids,Boot shoes,Beach sandals to be for boys,,,,Green,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/89/C8/79224db0-9fc5-4786-953f-2daa8779e71f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/89/C8/79224db0-9fc5-4786-953f-2daa8779e71f.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3A/43/0912dfd6-30f4-4e52-9ca1-fd3e4d669c7d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/43/0912dfd6-30f4-4e52-9ca1-fd3e4d669c7d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CA/7E/a18ba779-63c0-433b-b1fa-5ea22e10d7e0.jpg,https://fr.newchic.com/boys-shoes-4572/p-1449419.html,1449419,INR,1760.0
kids,Dresses,Butterfly unicorn dress for 4-13 years,,,,Pink,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/05/C4/a712cff5-30b9-4c9a-bc41-b4bf7d6c4138.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/C4/a712cff5-30b9-4c9a-bc41-b4bf7d6c4138.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/80/DA/5205db8e-b7c6-4e96-b918-52ef76d5eb38.jpg,https://fr.newchic.com/dresses-4670/p-1441888.html,1441888,INR,2159.2
kids,Dresses,Girls Unicorn Rainbow Stripe Print Short-Sleeved Casual Dress for 3-8Y,,,,Pink,Gray,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/88/2E/23173447-d226-4818-b47a-fd30ec59fbae.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/88/2E/23173447-d226-4818-b47a-fd30ec59fbae.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/60/DA/94bb0c44-42b4-48a8-9118-e23aaff6bda1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/60/DA/94bb0c44-42b4-48a8-9118-e23aaff6bda1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/70/AC/cf8ca027-113c-4471-9ec2-3766468ee7af.jpg,https://fr.newchic.com/dresses-4670/p-1678233.html,1678233,INR,3198.3999999999996
kids,Pregnancy brass,Anti-frightening lace breastfeeding bra,,,,Black,Pink,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A6/8D/cc5b7067-e9a4-44cd-9fe6-a78a73855a21.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A6/8D/cc5b7067-e9a4-44cd-9fe6-a78a73855a21.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B0/B6/07e6204c-7652-4699-bf3e-bd5870bb9b15.JPG,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B0/B6/07e6204c-7652-4699-bf3e-bd5870bb9b15.JPG,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CB/47/b00a9774-89bc-40f1-ac58-18556aa40c35.jpg,https://fr.newchic.com/maternity-bra-4855/p-1474362.html,1474362,INR,2020.0
kids,Pants and skirts,Girl chat embroidered jeans for 3-15 years old,,,,1,2,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6D/41/3c62feb9-8c51-415f-a63f-07d7ed9cab8a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6D/41/3c62feb9-8c51-415f-a63f-07d7ed9cab8a.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/35/BB/e7f98b60-9e60-4d30-b014-8a87f5336bd3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/35/BB/e7f98b60-9e60-4d30-b014-8a87f5336bd3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/A1/FE/8e5fa441-4875-4ae4-a57e-ab9010b8378b.png,https://fr.newchic.com/girls-bottoms-4671/p-1499924.html,1499924,INR,3636.8
kids,Costumes for,18pcs new-baby shower box for 0-6m,,,,YELLOW,Pink,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/34/1F/ee5a5fc1-97a7-4045-adc1-47620434386c.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/34/1F/ee5a5fc1-97a7-4045-adc1-47620434386c.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/15/5C/c8e732ac-326f-4e87-a86d-ba82dbd21988.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/15/5C/c8e732ac-326f-4e87-a86d-ba82dbd21988.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C4/1C/78d9d643-9016-4f8d-bac6-9429ca92684b.jpg,https://fr.newchic.com/baby-sets-6251/p-1339676.html,1339676,INR,9096.0
kids,Pants and skirts,Combination back nude girl for 3y-11y,,,,Dark gray,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/63/F8/0cf499db-3ee8-4f00-9a11-384053e7938a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/63/F8/0cf499db-3ee8-4f00-9a11-384053e7938a.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/DF/ba8e4236-58a1-48dd-b9f0-b19033e45c8b.jpg,https://fr.newchic.com/girls-bottoms-4671/p-1277757.html,1277757,INR,4041.6000000000004
kids,Pregnancy brass,Pure pregnancy brass,,,,Pink,Beige,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/EE/D6/33c336b7-9b75-4ef2-9e93-dbad349f5a66.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EE/D6/33c336b7-9b75-4ef2-9e93-dbad349f5a66.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/93/AE/a54eb549-a75f-46fe-84bc-526ab50ea4e1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/93/AE/a54eb549-a75f-46fe-84bc-526ab50ea4e1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/11/EF/b4f2b033-c426-41c2-9b2d-d07b371e943b.jpg,https://fr.newchic.com/maternity-bra-4855/p-1315172.html,1315172,INR,3030.4
kids,Pants and skirts,Boheme Flower Flower Combination,,,,Orange,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6F/0A/98109920-bc9a-4d12-a4b2-7c6d0970cbb6.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6F/0A/98109920-bc9a-4d12-a4b2-7c6d0970cbb6.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6F/0A/98109920-bc9a-4d12-a4b2-7c6d0970cbb6.jpg,https://fr.newchic.com/girls-bottoms-4671/p-1300717.html,1300717,INR,4850.400000000001
kids,Dresses,2pcs princess girl's flower dress for 1-7y,,,,Blue,Wine Red,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/72/AF/3bc544a2-0929-460d-bd26-37e0b8aad31a.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/72/AF/3bc544a2-0929-460d-bd26-37e0b8aad31a.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/90/A7/b5ea36fb-c124-496c-89dd-933d12d51625.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/90/A7/b5ea36fb-c124-496c-89dd-933d12d51625.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/90/A7/b5ea36fb-c124-496c-89dd-933d12d51625.jpg,https://fr.newchic.com/dresses-4670/p-1624942.html,1624942,INR,6467.200000000001
kids,Dresses,Girls Gray Dress Pleisson for 4Y-15Y,,,,Pink,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BD/88/25e71953-9af2-4ff6-a353-8b308d12802e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BD/88/25e71953-9af2-4ff6-a353-8b308d12802e.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/26/10/117b0972-0658-453f-a141-3b059c9e4c1d.jpg,https://fr.newchic.com/dresses-4670/p-1347579.html,1347579,INR,9904.0
kids,Dresses,Girls Sling Sun Print Dress Cute for 2-9y,,,,Yellow,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/03/0c6e99b1-c67d-43bb-9cc5-7f6422e09cc9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/03/0c6e99b1-c67d-43bb-9cc5-7f6422e09cc9.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/03/0c6e99b1-c67d-43bb-9cc5-7f6422e09cc9.jpg,https://fr.newchic.com/dresses-4670/p-1525806.html,1525806,INR,3030.4
kids,Dresses,Matching flowery gorge dress,,,,,,,,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/B5/e9d63ee4-cb58-410b-a5ed-d78eaf496071.jpg,https://fr.newchic.com/dresses-4670/p-1365953.html,1365953,INR,3199.2000000000003
kids,Brooms and combinations,Baitowed comic book,,,,#01,#02,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/04/A5/de2b0bf3-06d4-47ee-866d-62866033e182.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/04/A5/de2b0bf3-06d4-47ee-866d-62866033e182.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/44/4A/fa13a919-40cc-4f3d-81dc-0e044e1011c3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/44/4A/fa13a919-40cc-4f3d-81dc-0e044e1011c3.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/28/9D/decbd813-c0ee-40bd-bfc3-cca29559e09d.jpg,https://fr.newchic.com/rompers-and-bodysuits-4702/p-1604676.html,1604676,INR,3636.8
kids,Pants and skirts,Dot Design Girls combinations for 2y-11y,,,,Black,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F2/1E/47eb2ecc-8d7e-4414-9658-00a7a8d4c4f9.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F2/1E/47eb2ecc-8d7e-4414-9658-00a7a8d4c4f9.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6C/20/17ae0180-48e8-4d12-9485-8846486e1f8b.jpg,https://fr.newchic.com/girls-bottoms-4671/p-1281655.html,1281655,INR,5254.400000000001
kids,Swimwear,Set of 3 -year -old swimwear for 4 years old - 13 years old,,,,Sky blue,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/83/47/cf92553b-f75d-4c67-8a2f-09f468b7b5ec.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/83/47/cf92553b-f75d-4c67-8a2f-09f468b7b5ec.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A0/6B/0f90028c-604b-4977-9e60-d6472afcdf7e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A0/6B/0f90028c-604b-4977-9e60-d6472afcdf7e.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/DD/24b24e9c-39c7-4620-94dd-c4f91be6d653.jpg,https://fr.newchic.com/girls-swimwear-5242/p-1333626.html,1333626,INR,4850.400000000001
kids,Customs & Co-Ords,Vendor sets for all-little boys for 3-11 years,,,,Black,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/6C/77/ce307051-d9c5-49f2-8d8e-67e0047e63bb.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/6C/77/ce307051-d9c5-49f2-8d8e-67e0047e63bb.jpeg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/EF/9E/50bd5196-e6c6-4501-98a6-7e0a663840fb.jpg,https://fr.newchic.com/boys-clothing-set-4935/p-1279496.html,1279496,INR,4648.0
kids,Tops & T-shirt,T-shirt printed crocodile for 2-8 years,,,,dark blue,,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B7/92/f811284a-b5cc-408d-aec8-72da285ea60d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B7/92/f811284a-b5cc-408d-aec8-72da285ea60d.jpg,,,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B7/92/f811284a-b5cc-408d-aec8-72da285ea60d.jpg,https://fr.newchic.com/kids-tops-and-t-shirt-4606/p-1664939.html,1664939,INR,1518.4
kids,Pregnancy brass,Flexible breathable cotton pregnancy brass,,,,Gray1,Coffee,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A2/11/68501721-cd76-4f81-8b43-de52f7d4c629.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A2/11/68501721-cd76-4f81-8b43-de52f7d4c629.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/B1/A9/20890982-4304-4509-8447-1abe393b1430.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/B1/A9/20890982-4304-4509-8447-1abe393b1430.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/04/AE/f02bc82b-4e55-4698-94e0-e04ee0ad7ae1.jpg,https://fr.newchic.com/maternity-bra-4855/p-1358567.html,1358567,INR,2828.0
kids,Dresses,Princess dress unicorn girl for 3-13 years old,,,,YELLOW,Purple,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/DF/17/7237c535-a079-4827-9d60-bdaeb36e7612.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/DF/17/7237c535-a079-4827-9d60-bdaeb36e7612.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/2A/CF/0db94595-de68-468e-8e9a-db33a6079a7f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2A/CF/0db94595-de68-468e-8e9a-db33a6079a7f.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2A/CF/0db94595-de68-468e-8e9a-db33a6079a7f.jpg,https://fr.newchic.com/dresses-4670/p-1448500.html,1448500,INR,5860.8
kids,Tops & T-shirt,T-shirt for Dinosaur Garçon for 2-10 years,,,,Green,Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/FE/aa09dd74-068e-4083-8ab8-dc9030eee606.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/FE/aa09dd74-068e-4083-8ab8-dc9030eee606.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/96/55/10dcd6bc-21ff-497d-a693-5970a28d1083.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/96/55/10dcd6bc-21ff-497d-a693-5970a28d1083.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/96/55/10dcd6bc-21ff-497d-a693-5970a28d1083.jpg,https://fr.newchic.com/kids-tops-and-t-shirt-4606/p-1664940.html,1664940,INR,2323.2
