category,subcategory,name,current_price,raw_price,discount,likes_count,is_new,brand,brand_url,variation_0_color,variation_1_color,variation_0_thumbnail,variation_0_image,variation_1_thumbnail,variation_1_image,image_url,id,description
women,T-shirts,Short-sleeved button t-shirt and floral print,1919.1999999999998,3759.2000000000003,49,313,False,,,White,Navy,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/BE/47/78463cb2-6cbc-4a36-ae84-0d30dd50cac7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/BE/47/78463cb2-6cbc-4a36-ae84-0d30dd50cac7.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/FD/17/84b3ee75-de8d-40b2-b1f5-93c62436255b.jpg,1690810,"Elevate your summer wardrobe with our charming short-sleeved button t-shirt adorned with a captivating floral print. This alluring top exudes effortless elegance with its vibrant colors and feminine design. Crafted from breathable fabric, it ensures comfort and style blend seamlessly. Pair it with your favorite jeans or a flowy skirt for a chic and versatile look that will turn heads wherever you go."
women,Bra,More bras with front closing,1279.2,3228.8,60,4603,False,,,white,gray,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/40/59/5a7513f6-548a-488a-a0f4-ac74e8f8de9d.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/40/59/5a7513f6-548a-488a-a0f4-ac74e8f8de9d.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/99/DE/04761992-62f6-4181-9455-504c968536c4.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/99/DE/04761992-62f6-4181-9455-504c968536c4.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/CE/14/70e9789b-d681-4ec7-ac55-2fe14897b6d6.jpg,1533303,"Experience the ultimate comfort and convenience with our revolutionary front-closing bras. No more fumbling with hooks and straps at your back! Our bras feature smart designs with sleek front closures, making it almost effortless to put on and take off. The cups and bands are carefully designed to provide excellent support and coverage without compromising style. With our front-closing bras, you can dress with ease and confidence. Discover the comfort and freedom only a front-closing bra can provide."
women,Pants & Shorts,United elastic waist relaxed pants,2079.2,4079.2000000000003,49,5564,False,,,Khaki,Black,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/18/AB/a51a8a09-8e7b-4d33-b233-38e1baeabce7.jpeg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/18/AB/a51a8a09-8e7b-4d33-b233-38e1baeabce7.jpeg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F5/3D/33a2a686-6d8f-4803-818d-91288a125f69.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F5/3D/33a2a686-6d8f-4803-818d-91288a125f69.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/05/A9/f908379b-4128-4270-8933-e724653b2a28.jpg,1661710,"These relaxed pants are a stylish and comfortable choice for any woman. With an elastic waist, they are easy to slip on and off, making them perfect for running errands, lounging around the house, or going for a walk. The relaxed fit allows for freedom of movement, while the elastic waist ensures a secure fit. These pants are available in various colors to match any outfit."
women,Printed dresses,Relaxed midi dress with floral print,1919.1999999999998,3759.2000000000003,49,1262,False,,,Khaki,White,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/F0/F6/e8349f09-80eb-4a64-b300-b3fdc46192c2.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/F0/F6/e8349f09-80eb-4a64-b300-b3fdc46192c2.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3A/20/bd1ec57a-875d-44ed-92e8-a7d487075dc1.jpg,1691484,"Step into the epitome of effortless elegance with our relaxed midi dress, adorned with a captivating floral print. Crafted with breathable fabric, this dress drapes beautifully, providing unrivaled comfort and freedom of movement. The vibrant hues of the floral motif create a stunning visual symphony, exuding a timeless charm that's perfect for any occasion. From garden parties to casual outings, this dress ensures you make a statement wherever you go."
women,T-shirts,Flower embroidered t-shirt,1279.2,3110.4,59,4485,False,,,Green,Sky Blue,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/2D/EA/642b831d-c76d-4339-a0fc-7b3f32eed953.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/2D/EA/642b831d-c76d-4339-a0fc-7b3f32eed953.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/82/A2/d234e908-188c-4493-9f3c-9ae7a4275259.jpg,1655044,"Elevate your style and embrace femininity with our charming Flower Embroidered T-shirt, a perfect blend of comfort and fashion. Designed for the modern woman, this t-shirt features delicate floral embroidery, intricately stitched to bring a touch of nature to your everyday wardrobe. The soft fabric ensures breathability and all-day comfort, while the versatile design effortlessly transitions from casual outings to elegant events. Pair it with denim, skirts, or dress pants for a timeless look that's both stylish and effortless. Express your love for blooms and add a touch of elegance to your everyday attire."
women,Printed dresses,Long dress with vintage floral print,2719.2000000000003,5679.2,52,2419,False,,,Red,Yellow,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/45/EA/44f4279f-d777-4da1-903e-6820ea03b219.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/45/EA/44f4279f-d777-4da1-903e-6820ea03b219.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/3F/CB/9fbb9cf2-99d4-4cb4-aac3-1cda952f3f43.jpg,1527134,"Transport yourself to a bygone era with our enchanting vintage floral print long dress. Experience the timeless charm of yesteryear as you twirl effortlessly in this elegant piece. Its flowy silhouette flatters every figure, while the exquisite floral design adds a touch of romantic allure. Elevate your wardrobe with this captivating dress, perfect for any occasion that demands effortless sophistication."
women,Combinations & Grenouillères,Floral print straps combination,2639.2000000000003,5198.400000000001,49,33,True,,,Red,Navy,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/A6/50/bf193e3e-d976-403b-9870-19cbb4634b12.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/A6/50/bf193e3e-d976-403b-9870-19cbb4634b12.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/52/51/562b5bbb-5180-4d3f-8014-993d79cbef92.jpg,1715194,"Introducing our stunning floral print straps sandals, the epitome of elegance and comfort. With a unique combination of vibrant floral straps and a sleek, minimalist design, these sandals are a must-have for fashion-forward women. Crafted from premium materials, they offer exceptional durability and breathability, ensuring all-day comfort. Step into style and embrace the beauty of nature with our exquisite floral print straps sandals."
women,Combinations & Grenouillères,Floral print straps combination,2399.2,5118.4,53,4132,False,,,Black,Apricot,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C2/3C/9b01d967-a68b-4fbb-9978-ef995e171e61.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C2/3C/9b01d967-a68b-4fbb-9978-ef995e171e61.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/C1/AC/f12ab12b-debe-4f5a-bacc-9e46dd280084.jpg,1660117,"Introducing the Floral Print Straps Combination, the must-have accessory for the fashion-forward woman. Crafted with intricate floral patterns and a combination of straps, this unique and stylish piece adds a touch of elegance to any outfit. Pair it with a chic dress or a casual tank top and jeans for a look that's both stylish and comfortable. With its adjustable straps, this accessory ensures a perfect fit and all-day comfort. Elevate your style with the Floral Print Straps Combination and turn heads wherever you go."
women,Pants & Shorts,Flower relaxed pants,1759.1999999999998,3839.2000000000003,54,3095,False,Gracila,https://fr.newchic.com/gracila-brand-247.html,Blue,Yellow,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/newchic/images/73/6F/1f7e62ca-4fec-4b74-bd0a-654da998a4f8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/73/6F/1f7e62ca-4fec-4b74-bd0a-654da998a4f8.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/newchic/images/56/AE/d89d31a2-1fae-4779-a82c-fbbe7675c413.jpg,1663956,"Introducing our stunning Flower relaxed pants, designed for the modern, fashion-forward woman who values comfort and style. Made from premium materials, these pants boast a soft, flowy fabric that drapes beautifully, providing a relaxed fit that flatters any figure. The intricate floral print adds a touch of femininity and elegance, making them perfect for both casual and semi-formal occasions. Pair them with a tucked-in blouse and heels for a polished look or dress them down with a simple tee and sneakers for a more relaxed vibe. Embrace effortless style and comfort with our Flower relaxed pants, available in a range of vibrant colors to suit your personal taste."
women,Pants & Shorts,United casual cord -cord pants,1880.8000000000002,3679.2000000000003,49,4367,False,Gracila,https://fr.newchic.com/gracila-brand-247.html,Gray,Green,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/95/D5/3e4908bf-7df3-49e3-b055-c764441b8e84.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/95/D5/3e4908bf-7df3-49e3-b055-c764441b8e84.jpg,https://imgaz1.chiccdn.com/thumb/list_grid/oaupload/ser1/newchic/images/6B/EE/ad63dff1-cc0d-48f7-bb35-4bfabc14fccc.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/6B/EE/ad63dff1-cc0d-48f7-bb35-4bfabc14fccc.jpg,https://imgaz1.chiccdn.com/thumb/view/oaupload/ser1/newchic/images/95/D5/3e4908bf-7df3-49e3-b055-c764441b8e84.jpg,1617649,"Elevate your casual style with our United Casual Cord -Cord Pants. Crafted from premium fabric, these pants offer a relaxed fit and a comfortable feel. Featuring a classic corduroy design, they add a touch of texture and warmth to any outfit. The versatile style of these pants makes them perfect for casual outings, running errands, or even a night out with friends. Available in a variety of colors, these pants are a must-have addition to your everyday wardrobe."
